TimeCreated,Channel,Level,EventId,ProviderName,Message
2026-03-30 22:26:41,Application,Information,256,Chrome,[7820:21436:0330/222641.614:INFO:chrome\browser\extensions\extension_garbage_collector.cc:188] Garbage collection for extensions on file thread is complete.
2026-03-30 22:25:19,Application,Information,256,Chrome,[1560:11316:0330/222519.520:INFO:chrome\browser\extensions\extension_garbage_collector.cc:188] Garbage collection for extensions on file thread is complete.
2026-03-30 22:23:28,Application,Information,256,Chrome,[13060:1072:0330/222328.409:INFO:chrome\browser\extensions\extension_garbage_collector.cc:188] Garbage collection for extensions on file thread is complete.
2026-03-30 22:17:30,Application,Information,10001,Microsoft-Windows-RestartManager,Ending session 1 started ‎2026‎-‎03‎-‎31T03:17:25.206912500Z.
2026-03-30 22:17:25,Application,Information,10000,Microsoft-Windows-RestartManager,Starting session 1 - ‎2026‎-‎03‎-‎31T03:17:25.206912500Z.
2026-03-30 22:08:44,System,Information,7045,Service Control Manager,A service was installed in the system.  Service Name:  NTIOLib_MysticLight Service File Name:  C:\Program Files (x86)\MSI\One Dragon Center\Mystic_Light\Lib\\NTIOLib_X64.sys Service Type:  kernel mode driver Service Start Type:  demand start Service Account:  
2026-03-30 22:06:12,System,Information,7045,Service Control Manager,A service was installed in the system.  Service Name:  NTIOLib_MysticLight Service File Name:  C:\Program Files (x86)\MSI\One Dragon Center\Mystic_Light\Lib\\NTIOLib_X64.sys Service Type:  kernel mode driver Service Start Type:  demand start Service Account:  
2026-03-30 22:01:51,System,Warning,10016,Microsoft-Windows-DistributedCOM,The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID  {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}  and APPID  {15C20B67-12E7-4BB6-92BB-7AFF07997402}  to the user DESKTOP-KN\Owner SID (S-1-5-21-1775440496-1244785614-1751367727-1001) from address LocalHost (Using LRPC) running in the application container Claude_1.1.9669.0_x64__pzs8sxrjxfjjc SID (Unavailable). This security permission can be modified using the Component Services administrative tool.
2026-03-30 21:49:22,Application,Information,256,Chrome,[22412:8428:0330/214922.402:INFO:chrome\browser\extensions\extension_garbage_collector.cc:188] Garbage collection for extensions on file thread is complete.
2026-03-30 21:48:55,System,Warning,10016,Microsoft-Windows-DistributedCOM,The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID  {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}  and APPID  {15C20B67-12E7-4BB6-92BB-7AFF07997402}  to the user DESKTOP-KN\Owner SID (S-1-5-21-1775440496-1244785614-1751367727-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.
2026-03-30 21:45:52,System,Information,7040,Service Control Manager,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
2026-03-30 21:45:16,Application,Information,15,SecurityCenter,Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.
2026-03-30 21:44:26,System,Error,7009,Service Control Manager,A timeout was reached (30000 milliseconds) while waiting for the Intel(R) SUR QC Software Asset Manager service to connect.
2026-03-30 21:43:47,System,Information,7040,Service Control Manager,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
2026-03-30 21:43:34,System,Information,7045,Service Control Manager,A service was installed in the system.  Service Name:  Claude Service File Name:  'C:\Program Files\WindowsApps\Claude_1.1.9669.0_x64__pzs8sxrjxfjjc\app\resources\cowork-svc.exe' Service Type:  user mode service Service Start Type:  auto start Service Account:  LocalSystem
2026-03-30 21:43:34,Application,Information,1,CoworkVMService,Claude VM Service starting. Detailed logs: C:\ProgramData\Claude\Logs\cowork-service.log
2026-03-30 21:43:34,Application,,2562,Microsoft-Windows-AppXDeploymentServer/Operational,
2026-03-30 21:43:33,System,Information,7040,Service Control Manager,The start type of the Claude service was changed from auto start to disabled.
2026-03-30 21:43:33,Application,Information,1,CoworkVMService,Claude VM Service stopped.
2026-03-30 21:39:01,System,Error,1796,Microsoft-Windows-TPM-WMI,"The Secure Boot update failed to update Boot Manager (2023) with error Secure Boot is not enabled on this machine.. For more information, please see https://go.microsoft.com/fwlink/?linkid=2169931"
2026-03-30 21:39:01,System,Error,1796,Microsoft-Windows-TPM-WMI,"The Secure Boot update failed to update KEK 2023 with error Secure Boot is not enabled on this machine.. For more information, please see https://go.microsoft.com/fwlink/?linkid=2169931"
2026-03-30 21:39:01,System,Error,1796,Microsoft-Windows-TPM-WMI,"The Secure Boot update failed to update 3P UEFI CA 2023 (DB) with error Secure Boot is not enabled on this machine.. For more information, please see https://go.microsoft.com/fwlink/?linkid=2169931"
2026-03-30 21:39:01,System,Error,1796,Microsoft-Windows-TPM-WMI,"The Secure Boot update failed to update Option ROM CA 2023 (DB) with error Secure Boot is not enabled on this machine.. For more information, please see https://go.microsoft.com/fwlink/?linkid=2169931"
2026-03-30 21:39:01,System,Error,1796,Microsoft-Windows-TPM-WMI,"The Secure Boot update failed to update Windows UEFI CA 2023 (DB) with error Secure Boot is not enabled on this machine.. For more information, please see https://go.microsoft.com/fwlink/?linkid=2169931"
